iter	RMSE
0	3.261466551
1	3.188780474
2	3.115029159
3	3.040701435
4	2.972817263
5	2.909731127
6	2.853028046
7	2.792766078
8	2.731816063
9	2.678730816
10	2.625200135
11	2.574619527
12	2.523650089
13	2.474869271
14	2.42857655
15	2.387015436
16	2.345866238
17	2.306235104
18	2.268542682
19	2.231956522
20	2.196781419
21	2.163951299
22	2.133020341
23	2.098192574
24	2.06866678
25	2.03913881
26	2.009491155
27	1.984066206
28	1.958897404
29	1.935182361
30	1.912452911
31	1.890538773
32	1.869830067
33	1.850443393
34	1.831968021
35	1.81269179
36	1.795153883
37	1.77979003
38	1.76349144
39	1.748737467
40	1.734888388
41	1.720099308
42	1.706621775
43	1.697570579
44	1.684863531
45	1.671018264
46	1.659442693
47	1.648086062
48	1.637521886
49	1.626707329
50	1.613893273
51	1.604060346
52	1.595401562
53	1.587101763
54	1.57917507
55	1.571223124
56	1.562989875
57	1.556067409
58	1.549729057
59	1.542760826
60	1.535129765
61	1.528303231
62	1.52151927
63	1.513946834
64	1.509519227
65	1.503628977
66	1.498178568
67	1.493335293
68	1.488367108
69	1.483080468
70	1.477661381
71	1.473328659
72	1.468628298
73	1.463851771
74	1.460190726
75	1.456438376
76	1.452935548
77	1.449808726
78	1.44691356
79	1.442817678
80	1.439242243
81	1.436816386
82	1.433486126
83	1.428824885
84	1.42389068
85	1.421150505
86	1.41830294
87	1.415271819
88	1.412121186
89	1.408497368
90	1.406618628
91	1.404306398
92	1.402150485
93	1.399413312
94	1.39661061
95	1.39229542
96	1.390216674
97	1.386736163
98	1.38272138
99	1.377902837
100	1.376921849
101	1.374740383
102	1.372031185
103	1.37052375
104	1.367747384
105	1.365920085
106	1.363714951
107	1.361131791
108	1.359476451
109	1.356785338
110	1.353129024
111	1.351697751
112	1.350613625
113	1.348184696
114	1.346087584
115	1.342135591
116	1.338918397
117	1.336499039
118	1.334333211
119	1.331185708
120	1.329473058
121	1.327804307
122	1.326386511
123	1.324811141
124	1.321451066
125	1.318750557
126	1.317389952
127	1.31525734
128	1.314279629
129	1.312919362
130	1.310550144
131	1.309495427
132	1.308970761
133	1.30682208
134	1.304896433
135	1.303181264
136	1.30307454
137	1.301833147
138	1.300892978
139	1.299087405
140	1.298347318
141	1.295819417
142	1.293622763
143	1.291852931
144	1.289628299
145	1.288483598
146	1.286405051
147	1.2851548
148	1.284278089
149	1.28320825
150	1.28238122
151	1.281772341
152	1.280784783
153	1.278863176
154	1.276262362
155	1.275125744
156	1.27301194
157	1.272645544
158	1.269310215
159	1.267982956
160	1.267241359
161	1.265439798
162	1.263284416
163	1.262684692
164	1.261671292
165	1.259892765
166	1.257863133
167	1.256105672
168	1.255523685
169	1.25412607
170	1.253407082
171	1.250881337
172	1.248776331
173	1.248331589
174	1.246266094
175	1.243876786
176	1.24362907
177	1.24300453
178	1.242303494
179	1.241663097
180	1.241167706
181	1.240439922
182	1.238750239
183	1.237671392
184	1.234994923
185	1.234076896
186	1.231560278
187	1.229746541
188	1.227751265
189	1.227397221
190	1.227129461
191	1.226480318
192	1.224586692
193	1.224159589
194	1.222485821
195	1.221044465
196	1.220572867
197	1.220002908
198	1.219100237
199	1.218186173
200	1.217898465
201	1.21762748
202	1.216564647
203	1.213679409
204	1.211663637
205	1.210495438
206	1.208101271
207	1.207066719
208	1.206181653
209	1.203364958
210	1.202588807
211	1.201447815
212	1.198786917
213	1.198318153
214	1.195947412
215	1.195258958
216	1.192378688
217	1.190580129
218	1.18867106
219	1.188273073
220	1.18799752
221	1.187270694
222	1.186970625
223	1.185272571
224	1.184909105
225	1.183639874
226	1.183079494
227	1.181160373
228	1.178851338
229	1.176901575
230	1.176404917
231	1.175231254
232	1.174100664
233	1.171824689
234	1.171009059
235	1.17072856
236	1.168896303
237	1.167610221
238	1.16713285
239	1.166820653
240	1.166662707
241	1.165395084
242	1.165178885
243	1.164426261
244	1.16219264
245	1.161170242
246	1.159835514
247	1.15754215
248	1.156919565
249	1.15487469
250	1.154601044
251	1.153023356
252	1.151461353
253	1.151224616
254	1.149489026
255	1.149074546
256	1.148499583
257	1.148039287
258	1.147388329
259	1.146047018
260	1.145930783
261	1.144384139
262	1.142759733
263	1.141470072
264	1.14001418
265	1.138788711
266	1.136641622
267	1.134506761
268	1.134322241
269	1.133790808
270	1.133317994
271	1.131261946
272	1.128949899
273	1.128319504
274	1.127299448
275	1.126910642
276	1.124109223
277	1.122297892
278	1.121319854
279	1.12118929
280	1.12103742
281	1.118818562
282	1.117436149
283	1.117004781
284	1.116354047
285	1.115126154
286	1.115014851
287	1.113551572
288	1.112407503
289	1.112037301
290	1.11112876
291	1.110674853
292	1.110424889
293	1.109266593
294	1.108704734
295	1.108284133
296	1.107789414
297	1.106927763
298	1.106765803
299	1.106659298
300	1.104487815
301	1.104341105
302	1.103566921
303	1.102701945
304	1.101424771
305	1.10070594
306	1.099704969
307	1.099509058
308	1.099159265
309	1.098997283
310	1.0988846
311	1.098739011
312	1.095955994
313	1.095616396
314	1.09339565
315	1.093244163
316	1.091606597
317	1.091458879
318	1.089265925
319	1.087242152
320	1.087095137
321	1.086345499
322	1.086213588
323	1.084142154
324	1.083285674
325	1.082620641
326	1.082486882
327	1.080344105
328	1.077552626
329	1.077445726
330	1.077352484
331	1.076800926
332	1.075655801
333	1.073461904
334	1.071816171
335	1.06982568
336	1.069217702
337	1.069082185
338	1.068980839
339	1.068884269
340	1.068763211
341	1.067477908
342	1.067245619
343	1.065008371
344	1.063399905
345	1.061916224
346	1.060879047
347	1.059252651
348	1.059148415
349	1.057253923
350	1.05526558
351	1.054158374
352	1.0528717
353	1.051122388
354	1.051012036
355	1.049789476
356	1.048351759
357	1.045763347
358	1.044721108
359	1.042486329
360	1.042393499
361	1.042077257
362	1.039993931
363	1.038048506
364	1.037994757
365	1.037915397
366	1.036934009
367	1.035167936
368	1.033862976
369	1.03289278
370	1.030763892
371	1.02960743
372	1.027632043
373	1.026799266
374	1.025735458
375	1.024432224
376	1.023123169
377	1.022135686
378	1.021257101
379	1.019303716
380	1.017589339
381	1.016154451
382	1.014562764
383	1.014449742
384	1.013218524
385	1.012113167
386	1.010642288
387	1.010512419
388	1.009513392
389	1.008371856
390	1.007706787
391	1.005934146
392	1.005865585
393	1.004784465
394	1.003617877
395	1.003341803
396	1.002434685
397	1.002166138
398	1.0007241
399	0.9993406598
400	0.998806753
401	0.9972030296
402	0.996271746
403	0.9949113205
404	0.9937208887
405	0.9924192941
406	0.9904174538
407	0.9883327943
408	0.9867670673
409	0.9859310517
410	0.98580735
411	0.985342384
412	0.9852833827
413	0.9844442106
414	0.983114139
415	0.9829175926
416	0.9828578942
417	0.9814046112
418	0.9806825122
419	0.9787317505
420	0.9774104964
421	0.9765472535
422	0.9752966392
423	0.9737159952
424	0.9727562847
425	0.9720102783
426	0.971305163
427	0.9704685276
428	0.9699651951
429	0.9682129153
430	0.9668817031
431	0.9655204268
432	0.9640369093
433	0.9624972744
434	0.9617260944
435	0.9606390357
436	0.9591722595
437	0.9579770211
438	0.9564434785
439	0.9560536278
440	0.9545266064
441	0.9526282816
442	0.9521634362
443	0.9512149518
444	0.9488290986
445	0.9470684964
446	0.9460082305
447	0.9450759476
448	0.9446931364
449	0.9435854833
450	0.9434793148
451	0.9424368072
452	0.9407222323
453	0.939195519
454	0.9387266803
455	0.9376045831
456	0.9356541246
457	0.9342767724
458	0.9329654624
459	0.9325246803
460	0.9312944465
461	0.9301995374
462	0.9301424168
463	0.9296191876
464	0.9283556998
465	0.9275202356
466	0.9271275423
467	0.9259535617
468	0.9244912748
469	0.9238495591
470	0.9237931982
471	0.9229084171
472	0.9220244193
473	0.9213764467
474	0.9202537791
475	0.9196179376
476	0.9195653884
477	0.9186537643
478	0.9186160884
479	0.9185567602
480	0.9177376385
481	0.9172561842
482	0.9159877596
483	0.9144196216
484	0.9136300178
485	0.9123810496
486	0.9107944508
487	0.9090967566
488	0.9081136003
489	0.9069014616
490	0.9068347829
491	0.9058473225
492	0.9048200059
493	0.9035417667
494	0.9019680556
495	0.9009663865
496	0.8998079806
497	0.8985254952
498	0.8975698269
499	0.8964248071
500	0.894759485
501	0.8941496133
502	0.8928639631
503	0.892745124
504	0.8916685834
505	0.8910589448
506	0.8895377414
507	0.8890582017
508	0.8879825401
509	0.8872325986
510	0.8866834849
511	0.8855353992
512	0.8842948203
513	0.8842654284
514	0.8842209654
515	0.8835147889
516	0.8817274337
517	0.8813676164
518	0.8800244436
519	0.8796703469
520	0.8793877275
521	0.8793239666
522	0.878089438
523	0.8771923765
524	0.8771432103
525	0.8759633789
526	0.8749138807
527	0.8736157982
528	0.8724816081
529	0.8708278314
530	0.8693060256
531	0.8692093514
532	0.8683265488
533	0.8674962391
534	0.8669326725
535	0.8664314914
536	0.8656158018
537	0.8643593706
538	0.8633660973
539	0.8622778446
540	0.8613942342
541	0.8607800588
542	0.8594959033
543	0.8588011611
544	0.8577578203
545	0.8566169934
546	0.8556865072
547	0.854548202
548	0.8533293903
549	0.8532719755
550	0.8529597812
551	0.8527225362
552	0.8513245574
553	0.8497108552
554	0.8489868727
555	0.8484888849
556	0.8483803094
557	0.8465360402
558	0.8451644673
559	0.8438455641
560	0.8430544045
561	0.8414266575
562	0.840318249
563	0.8390919035
564	0.8388882156
565	0.8382479042
566	0.8372174793
567	0.8365738168
568	0.8354355853
569	0.8352595281
570	0.8343623529
571	0.8343229662
572	0.8340040356
573	0.8329783485
